股票编号,报告日期,基本每股收益,净利率,流动比率,速动比率
00001,2018-12,8.8584,16.8081,30070000.0,19445400.0
00001,2018-06,3.9373,16.9853,18307700.0,8977300.0
00001,2017-12,7.6068,17.545,19522300.0,9603600.0
00001,2017-06,3.5845,17.2935,19258400.0,11065300.0
00001,2016-12,7.6481,16.1298,19991800.0,14071700.0
00001,2016-06,3.3076,15.0772,19484900.0,13774600.0
00001,2015-12,30.9225,74.8861,16167000.0,10916500.0
00001,2015-06,31.4419,395.8765,18331100.0,11205700.0
00002,2018-12,4.6964,15.9989,3110500.0,3648000.0
00002,2018-06,2.4787,17.2219,2812200.0000000005,2999200.0
00002,2017-12,4.7145,16.6683,2817900.0,3045600.0
00002,2017-06,2.0309,14.8903,2197100.0,2608600.0
00002,2016-12,4.4994,17.383,2075100.0,3340100.0
00002,2016-06,2.0683,17.2507,1996000.0,3331500.0
00002,2015-12,5.1942,20.772,1866200.0,3207600.0
00002,2015-06,1.7901,15.6684,1996200.0,3429500.0
00003,2018-12,0.5301,26.6985,1806000.0,2291300.0
00003,2018-06,0.2622,27.9145,2111800.0,2772300.0
00003,2017-12,0.4915,28.7805,2036800.0,2670600.0
00003,2017-06,0.2777,32.3209,1793600.0000000002,1876000.0
00003,2016-12,0.5161,28.9588,1893800.0,1748500.0
00003,2016-06,0.2914,34.1093,1914100.0,1675300.0
00003,2015-12,0.5295,27.6409,1979900.0,1942000.0
00003,2015-06,0.2863,31.3238,1970000.0,1810100.0
00004,2018-12,1.9101,31.8737,5720100.0,3913500.0
00004,2018-06,0.7925,37.083,5376400.0,4108800.0
00004,2017-12,6.0269,52.2335,6369500.0,3266700.0
00004,2017-06,2.4128,51.3685,4705300.0,4451800.0
00004,2016-12,6.3242,46.4645,5856600.0,5396400.0
00004,2016-06,1.8974,34.6586,4870500.0,4972400.0
00004,2015-12,4.4319,41.1156,5498700.0,4344100.0
00004,2015-06,1.8138,40.5786,5176100.0,4199700.0
00006,2018-12,3.1368,491.0611,479700.0,356800.0
00006,2018-06,1.6272,535.7607,611700.0,289000.0
00006,2017-12,3.26,585.8451,2137800.0,571100.0
00006,2017-06,1.6404,637.7179,3648200.0,253100.0
00006,2016-12,2.6925,498.2143,5534400.000000001,236200.0
00006,2016-06,1.3931,552.6232,5641200.0,200700.0
00006,2015-12,3.0328,591.1315,5742400.0,177500.0
00006,2015-06,1.1987,517.0927,5381400.0,225900.0
00008,2018-12,0.1019,7.8507,1881500.0,1278600.0
00008,2018-06,0.0202,5.5813,1936399.9999999998,1930800.0000000002
00008,2017-12,0.2437,12.4157,2360600.0,1238400.0
00008,2017-06,0.1457,13.4819,2386000.0,1234300.0
00008,2016-12,0.2396,9.9833,1835000.0,1259800.0
00008,2016-06,0.0974,9.1989,1751100.0000000002,1391500.0
00008,2015-12,0.2562,10.1567,1687200.0,1465500.0
