¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00194,2019-01-16,12.080000,12.080000,12.020000,12.020000,12.000000,0.001667,36000.000000,433200.000000
hk00194,2019-01-15,11.980000,12.040000,11.960000,12.000000,11.980000,0.001669,64000.000000,767960.000000
hk00194,2019-01-14,11.980000,12.000000,11.960000,11.980000,12.000000,-0.001667,36000.000000,431520.000000
hk00194,2019-01-11,12.020000,12.080000,12.000000,12.000000,12.020000,-0.001664,32000.000000,385000.000000
hk00194,2019-01-10,11.980000,12.020000,11.960000,12.020000,11.980000,0.003339,10000.000000,119880.000000
hk00194,2019-01-09,12.020000,12.040000,11.920000,11.980000,11.980000,0.000000,70000.000000,839320.000000
hk00194,2019-01-08,11.960000,12.020000,11.960000,11.980000,11.960000,0.001672,114000.000000,1367200.000000
hk00194,2019-01-07,12.000000,12.000000,11.960000,11.960000,11.960000,0.000000,34000.000000,407840.000000
hk00194,2019-01-04,11.700000,11.960000,11.660000,11.960000,11.880000,0.006734,68000.000000,801160.000000
hk00194,2019-01-03,11.880000,11.880000,11.880000,11.880000,11.900000,-0.001681,2000.000000,23760.000000
hk00194,2019-01-02,12.020000,12.020000,11.900000,11.900000,12.160000,-0.021382,60000.000000,717760.000000
hk00194,2018-12-31,12.080000,12.240000,12.080000,12.160000,12.100000,0.004959,34000.000000,412920.000000
hk00194,2018-12-28,12.200000,12.200000,12.100000,12.100000,12.200000,-0.008197,28493.000000,347235.000000
hk00194,2018-12-27,12.200000,12.260000,12.200000,12.200000,12.260000,-0.004894,28770.000000,351169.000000
hk00194,2018-12-24,12.060000,12.400000,12.060000,12.260000,12.140000,0.009885,248000.000000,3017240.000000
hk00194,2018-12-21,12.140000,12.180000,12.140000,12.140000,12.100000,0.003306,18000.000000,218920.000000
hk00194,2018-12-20,12.240000,12.240000,12.040000,12.100000,12.180000,-0.006568,24000.000000,290560.000000
hk00194,2018-12-19,12.240000,12.240000,12.180000,12.180000,12.180000,0.000000,56000.000000,683080.000000
hk00194,2018-12-18,12.260000,12.260000,12.040000,12.180000,12.200000,-0.001639,64000.000000,777120.000000
hk00194,2018-12-17,12.100000,12.200000,12.000000,12.200000,11.980000,0.018364,194000.000000,2337840.000000
hk00194,2018-12-14,11.980000,12.160000,11.920000,11.980000,12.180000,-0.016420,178000.000000,2143888.000000
hk00194,2018-12-13,12.040000,12.180000,11.980000,12.180000,11.860000,0.026981,188000.000000,2265320.000000
hk00194,2018-12-12,11.860000,12.000000,11.860000,11.860000,11.840000,0.001689,136000.000000,1621000.000000
hk00194,2018-12-11,11.940000,11.960000,11.840000,11.840000,11.900000,-0.005042,132000.000000,1572200.000000
hk00194,2018-12-10,11.720000,12.000000,11.720000,11.900000,11.640000,0.022337,338000.000000,4015960.000000
hk00194,2018-12-07,11.720000,11.740000,11.540000,11.640000,11.760000,-0.010204,142000.000000,1659080.000000
hk00194,2018-12-06,11.900000,11.900000,11.720000,11.760000,11.840000,-0.006757,78000.000000,918520.000000
hk00194,2018-12-05,11.780000,11.880000,11.720000,11.840000,11.900000,-0.005042,141337.000000,1668870.000000
hk00194,2018-12-04,11.960000,11.960000,11.840000,11.900000,11.960000,-0.005017,52000.000000,618960.000000
hk00194,2018-12-03,11.740000,11.980000,11.660000,11.960000,11.740000,0.018739,403000.000000,4824708.000000
hk00194,2018-11-30,11.240000,11.900000,11.220000,11.740000,11.100000,0.057658,1809000.000000,20891880.000000
hk00194,2018-11-29,11.080000,11.240000,11.080000,11.100000,11.080000,0.001805,600078.000000,6661104.000000
hk00194,2018-11-28,11.140000,11.160000,11.060000,11.080000,11.200000,-0.010714,630000.000000,6991680.000000
hk00194,2018-11-27,11.060000,11.200000,11.040000,11.200000,11.060000,0.012658,484000.000000,5357080.000000
hk00194,2018-11-26,11.060000,11.180000,11.020000,11.060000,11.060000,0.000000,322000.000000,3581480.000000
hk00194,2018-11-23,11.060000,11.100000,11.060000,11.060000,11.060000,0.000000,128000.000000,1418120.000000
hk00194,2018-11-22,11.120000,11.180000,11.040000,11.060000,11.080000,-0.001805,232660.000000,2576553.000000
hk00194,2018-11-21,11.100000,11.100000,11.000000,11.080000,11.080000,0.000000,474000.000000,5241808.000000
hk00194,2018-11-20,11.180000,11.180000,11.020000,11.080000,11.220000,-0.012478,290000.000000,3224120.000000
hk00194,2018-11-19,11.200000,11.220000,11.160000,11.220000,11.200000,0.001786,386000.000000,4321600.000000
hk00194,2018-11-16,11.220000,11.320000,11.160000,11.200000,11.180000,0.001789,175301.000000,1961241.000000
hk00194,2018-11-15,11.240000,11.240000,11.120000,11.180000,11.200000,-0.001786,550000.000000,6155680.000000
hk00194,2018-11-14,11.300000,11.300000,11.200000,11.200000,11.480000,-0.024390,514000.000000,5790760.000000
hk00194,2018-11-13,11.380000,11.480000,11.380000,11.480000,11.540000,-0.005199,50000.000000,570000.000000
hk00194,2018-11-12,11.560000,11.560000,11.500000,11.540000,11.580000,-0.003454,314000.000000,3617320.000000
hk00194,2018-11-09,11.600000,11.600000,11.600000,11.580000,11.600000,-0.001724,4000.000000,46400.000000
hk00194,2018-11-08,11.600000,11.600000,11.600000,11.600000,11.620000,-0.001721,4000.000000,46192.000000
hk00194,2018-11-07,11.400000,11.620000,11.380000,11.620000,11.420000,0.017513,20000.000000,229920.000000
hk00194,2018-11-06,11.620000,11.620000,11.420000,11.420000,11.400000,0.001754,22000.000000,251680.000000
hk00194,2018-11-05,11.400000,11.420000,11.380000,11.400000,11.500000,-0.008696,166000.000000,1892360.000000
hk00194,2018-11-02,11.500000,11.640000,11.480000,11.500000,11.340000,0.014109,60000.000000,693800.000000
hk00194,2018-11-01,11.320000,11.360000,11.320000,11.340000,11.320000,0.001767,8000.000000,90680.000000
hk00194,2018-10-31,11.320000,11.460000,11.320000,11.320000,11.300000,0.001770,20000.000000,226786.000000
hk00194,2018-10-30,11.460000,11.460000,11.260000,11.300000,11.300000,0.000000,26000.000000,296652.000000
hk00194,2018-10-29,11.380000,11.380000,11.300000,11.300000,11.240000,0.005338,14380.000000,162862.000000
hk00194,2018-10-26,11.260000,11.300000,11.240000,11.240000,11.220000,0.001783,16000.000000,180200.000000
hk00194,2018-10-25,11.100000,11.300000,11.100000,11.220000,11.480000,-0.022648,202000.000000,2267720.000000
hk00194,2018-10-24,11.480000,11.480000,11.460000,11.480000,11.500000,-0.001739,26000.000000,298360.000000
hk00194,2018-10-23,11.500000,11.500000,11.500000,11.500000,11.620000,-0.010327,358010.000000,4117117.000000
